# =============================================================================
# MINISTEAM - Cache de Traduções
# Formato: idioma_destino | texto_origem || texto_traduzido
# Quebras de linha e pipes escapados como \n e \|
# =============================================================================
en | Lista de Desejos || Wish List
de | Carrinho de Compras || Warenkorb
pt-br | Das Spiel hat zu viele Bugs. || O jogo tem muitos bugs.
en | Bem vindo ao Ministeam, o melhor lugar para encontrar Aventura Épica || Welcome to Ministeam, the best place to find Aventura Épica
en | Carrinho || Cart
en | A lista de desejos é visível apenas para amigos. || The wish list is only visible to friends.
de | A lista de desejos é visível apenas para amigos. || Die Wunschliste ist nur für Freunde sichtbar.
zh-cn | A lista de desejos é visível apenas para amigos. || 愿望清单仅对好友可见。
pl | A lista de desejos é visível apenas para amigos. || Lista życzeń jest widoczna tylko dla znajomych.
ko | A lista de desejos é visível apenas para amigos. || 위시리스트는 친구에게만 표시됩니다.
en | Liberar Parente || Release Relative
de | Liberar Parente || Relative Freigabe
zh-cn | Liberar Parente || 发布相关
pl | Liberar Parente || Wydanie względne
ko | Liberar Parente || 릴리스 친척
en | Mínimo 4 caracteres || Minimum 4 characters
de | Mínimo 4 caracteres || Mindestens 4 Zeichen
zh-cn | Mínimo 4 caracteres || 最少 4 个字符
pl | Mínimo 4 caracteres || Minimum 4 znaki
ko | Mínimo 4 caracteres || 최소 4자
en | Membros da Família || Family Members
de | Membros da Família || Familienmitglieder
zh-cn | Membros da Família || 家庭成员
pl | Membros da Família || Członkowie rodziny
ko | Membros da Família || 가족 구성원
en | Destaques e Recomendações || Highlights and Recommendations
de | Destaques e Recomendações || Highlights und Empfehlungen
zh-cn | Destaques e Recomendações || 亮点和建议
pl | Destaques e Recomendações || Najważniejsze informacje i rekomendacje
ko | Destaques e Recomendações || 하이라이트 및 권장사항
en | Aproveite os descontos em jogos selecionados || Take advantage of discounts on selected games
de | Aproveite os descontos em jogos selecionados || Profitieren Sie von Rabatten auf ausgewählte Spiele
pl | Aproveite os descontos em jogos selecionados || Skorzystaj ze zniżek na wybrane gry
ko | Aproveite os descontos em jogos selecionados || 일부 게임에 대한 할인 혜택을 누리세요
en | Presentear saldo || Gift balance
de | Presentear saldo || Geschenkguthaben
zh-cn | Presentear saldo || 礼品余额
pl | Presentear saldo || Bilans prezentów
ko | Presentear saldo || 선물 잔액
en | em || in
de | em || In
zh-cn | em || 在
pl | em || W
ko | em || ~에
en | Pool de Licenças da Família || Family License Pool
de | Pool de Licenças da Família || Familienlizenzpool
zh-cn | Pool de Licenças da Família || 家庭许可证池
pl | Pool de Licenças da Família || Pula licencji rodzinnych
ko | Pool de Licenças da Família || 가족 라이선스 풀
en | Dados da Conta || Account Data
de | Dados da Conta || Kontodaten
zh-cn | Dados da Conta || 账户数据
pl | Dados da Conta || Dane konta
ko | Dados da Conta || 계정 데이터
en | Tipo: Presente || Type: Gift
de | Tipo: Presente || Typ: Geschenk
zh-cn | Tipo: Presente || 类型： 礼品
pl | Tipo: Presente || Typ: Prezent
ko | Tipo: Presente || 유형: 선물
en | Horas || Hours
de | Horas || Std
zh-cn | Horas || 时间
pl | Horas || Godziny
ko | Horas || 시간
en | Usado para fazer login. Apenas letras, números e _ || Used to log in. Only letters, numbers and _
de | Usado para fazer login. Apenas letras, números e _ || Wird zum Anmelden verwendet. Nur Buchstaben, Zahlen und _
zh-cn | Usado para fazer login. Apenas letras, números e _ || 用于登录。仅限字母、数字和_
pl | Usado para fazer login. Apenas letras, números e _ || Służy do logowania. Tylko litery, cyfry i _
ko | Usado para fazer login. Apenas letras, números e _ || 로그인 시 사용됩니다. 문자, 숫자, _만 가능합니다.
en | Configurações || Settings
de | Configurações || Einstellungen
zh-cn | Configurações || 设置
pl | Configurações || Ustawienia
ko | Configurações || 설정
en | Membro || Member
de | Membro || Mitglied
zh-cn | Membro || 成员
pl | Membro || Członek
ko | Membro || 회원
en | Idade verificada automaticamente pelo seu perfil. || Age automatically verified by your profile.
de | Idade verificada automaticamente pelo seu perfil. || Das Alter wird automatisch durch Ihr Profil überprüft.
zh-cn | Idade verificada automaticamente pelo seu perfil. || 通过您的个人资料自动验证年龄。
pl | Idade verificada automaticamente pelo seu perfil. || Wiek automatycznie weryfikowany przez Twój profil.
ko | Idade verificada automaticamente pelo seu perfil. || 프로필을 통해 자동으로 연령이 확인됩니다.
en | Não Recomendado || Not Recommended
de | Não Recomendado || Nicht empfohlen
zh-cn | Não Recomendado || 不推荐
pl | Não Recomendado || Niezalecane
ko | Não Recomendado || 권장되지 않음
en | Não elegível para Compartilhamento Familiar || Not eligible for Family Sharing
de | Não elegível para Compartilhamento Familiar || Kein Anspruch auf Familienfreigabe
zh-cn | Não elegível para Compartilhamento Familiar || 不符合家庭共享资格
pl | Não elegível para Compartilhamento Familiar || Nie kwalifikuje się do udostępniania rodziny
ko | Não elegível para Compartilhamento Familiar || 가족 공유에 적합하지 않음
en | Item adicionado ao carrinho! || Item added to cart!
de | Item adicionado ao carrinho! || Artikel zum Warenkorb hinzugefügt!
zh-cn | Item adicionado ao carrinho! || 商品已添加到购物车！
pl | Item adicionado ao carrinho! || Artykuł dodany do koszyka!
ko | Item adicionado ao carrinho! || 장바구니에 상품이 추가되었습니다!
en | vezes. || times.
de | vezes. || mal.
zh-cn | vezes. || 次。
pl | vezes. || czasy.
ko | vezes. || 타임스.
en | Isto irá limpar os cookies e APAGAR todos os dados (amizades, famílias, bibliotecas, carteiras e sessões). As contas de usuário serão mantidas. Continuar? || This will clear cookies and DELETE all data (friends, families, libraries, wallets and sessions). User accounts will be maintained. Continue?
de | Isto irá limpar os cookies e APAGAR todos os dados (amizades, famílias, bibliotecas, carteiras e sessões). As contas de usuário serão mantidas. Continuar? || Dadurch werden Cookies gelöscht und alle Daten (Freunde, Familien, Bibliotheken, Geldbörsen und Sitzungen) LÖSCHEN. Benutzerkonten bleiben erhalten. Weitermachen?
zh-cn | Isto irá limpar os cookies e APAGAR todos os dados (amizades, famílias, bibliotecas, carteiras e sessões). As contas de usuário serão mantidas. Continuar? || 这将清除 cookie 并删除所有数据（朋友、家人、图书馆、钱包和会话）。用户帐户将得到维护。继续？
